
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F392|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas|745|SHGPR|Northern|3/21/13|2013|
|F393|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|680|MGPR|Northern|3/21/13|2013|
|F394|Tympanuchus pallidicinctus|MIDDLE|Female|Juvenile|Kansas|635|MGPR|Northern|3/21/13|2013|
|F395|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Adult|Kansas|850|SHGPR|Northern|3/22/13|2013|
|F396|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Adult|Kansas|750|SHGPR|Northern|3/22/13|2013|
|F397|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Adult|Kansas|865|SHGPR|Northern|3/22/13|2013|
|F398|Tympanuchus pallidicinctus|PRAIRIE DOG|Male|Adult|Kansas|850|SHGPR|Northern|3/22/13|2013|
|F399|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Adult|Kansas|770|SHGPR|Northern|3/26/13|2013|
|F39|Tympanuchus pallidicinctus|SandRanch45|Male|Adult|New Mexico||SSOPR|Southern|4/14/19|2019|
|F3|Tympanuchus pallidicinctus|SandRanch45|Male||New Mexico||SSOPR|Southern|4/14/19|2019|
|F400|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Adult|Kansas|850|SHGPR|Northern|3/26/13|2013|
|F401|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Juvenile|Kansas|812|SHGPR|Northern|3/26/13|2013|
|F402|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Adult|Kansas|790|SHGPR|Northern|3/26/13|2013|
|F403|Tympanuchus pallidicinctus|MIDDLE|Male|Juvenile|Kansas|740|MGPR|Northern|3/26/13|2013|
|F404|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|745|MGPR|Northern|3/26/13|2013|
|F405|Tympanuchus pallidicinctus|EAST 2|Male|Adult|Kansas|780|MGPR|Northern|3/26/13|2013|
|F406|Tympanuchus pallidicinctus|EAST 2|Male|Juvenile|Kansas|665|MGPR|Northern|3/26/13|2013|
|F407|Tympanuchus pallidicinctus|EAST 2|Male|Adult|Kansas|755|MGPR|Northern|3/26/13|2013|
|F408|Tympanuchus pallidicinctus|EAST YORK|Female|Juvenile|Kansas|770|SHGPR|Northern|3/26/13|2013|
|F409|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Adult|Kansas|817|SHGPR|Northern|3/27/13|2013|
|F410|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|770|MGPR|Northern|3/28/13|2013|
|F411|Tympanuchus pallidicinctus|N BOXCAR|Male|Juvenile|Kansas|770|MGPR|Northern|3/29/13|2013|
|F412|Tympanuchus pallidicinctus|EAST 2|Male|Adult|Kansas|745|MGPR|Northern|3/29/13|2013|
|F413|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Adult|Kansas|830|SHGPR|Northern|3/30/13|2013|
|F414|Tympanuchus pallidicinctus|FLEMING 1|Male|Adult|Kansas|740|SHGPR|Northern|3/30/13|2013|
|F415|Tympanuchus pallidicinctus|RUDZICK|Male|Juvenile|Kansas|836|SHGPR|Northern|3/30/13|2013|
|F416|Tympanuchus pallidicinctus|FLEMING 1|Male|Adult|Kansas|748|SHGPR|Northern|3/31/13|2013|
|F417|Tympanuchus pallidicinctus|SCHOOLHOUSE|Male|Juvenile|Kansas|758|SHGPR|Northern|4/1/13|2013|
|F419|Tympanuchus pallidicinctus|SWART|Male|Adult|Kansas|760|SHGPR|Northern|4/1/13|2013|
|F420|Tympanuchus pallidicinctus|MCDANIEL 1|Male|Adult|Kansas|790|SHGPR|Northern|4/2/13|2013|
|F421|Tympanuchus pallidicinctus|S13-15-23|Male|Juvenile|Kansas|845|SHGPR|Northern|4/2/13|2013|
|F422|Tympanuchus pallidicinctus|MCDANIEL 1|Male|Juvenile|Kansas|825|SHGPR|Northern|4/2/13|2013|
|F423|Tympanuchus pallidicinctus|MCDANIEL 1|Female|Juvenile|Kansas|715|SHGPR|Northern|4/2/13|2013|
|F424|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Juvenile|Kansas|810|SHGPR|Northern|4/3/13|2013|
|F425|Tympanuchus pallidicinctus|MCDANIEL 1|Female|Juvenile|Kansas|785|SHGPR|Northern|4/3/13|2013|
